"","dataset","n_samples","n_attr","n_values","X","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"1","GSE14020",29,54675,1585575,"HSLMDS [k=23] [kQuality=24] (NLDR)","HSLMDS [k=23] [kQuality=24] (NLDR)","HSLMDS (NLDR)",23,NA,0.72,0.42,1,NA,0.087,0.875,NA,NA,NA,NA,NA,7,4,0.571,0.321
"2","GSE14020",29,54675,1585575,"LMDS [k=6] (rNLDR)","LMDS [k=6] (rNLDR)","LMDS (rNLDR)",6,NA,0.71,0.4,1,NA,1.018,0.875,NA,NA,NA,NA,NA,8,5,0.625,0.339
"3","GSE14020",29,54675,1585575,"HSLMDS [k=6] (rNLDR)","HSLMDS [k=6] (rNLDR)","HSLMDS (rNLDR)",6,NA,0.71,0.4,1,NA,5.404,0.875,NA,NA,NA,NA,NA,8,5.034,0.629,0.344
"4","GSE14020",29,54675,1585575,"Isomap [k=6]","Isomap [k=6]","Isomap",6,NA,0.66,0.3,1,NA,0.049,0.875,NA,NA,NA,NA,NA,5,2.207,0.441,0.263
"5","GSE14020",29,54675,1585575,"UMAP [k=12]","UMAP [k=12]","UMAP",12,NA,0.64,0.26,1,NA,0.061,0.875,NA,NA,NA,NA,NA,2,0.759,0.379,0.308
"6","GSE14020",29,54675,1585575,"LMDS [k=16] [kQuality=14] (NLDR)","LMDS [k=16] [kQuality=14] (NLDR)","LMDS (NLDR)",16,NA,0.72,0.43,1,NA,0.019,0.75,NA,NA,NA,NA,NA,12,9.207,0.767,0.339
"7","GSE14020",29,54675,1585575,"tSNE [perp=5]","tSNE [perp=5]","tSNE",NA,5,0.72,0.41,1,NA,0.068,0.75,NA,NA,NA,NA,NA,1,0.759,0.759,0.723
"8","GSE14020",29,54675,1585575,"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.68,0.33,3,0,0.087,0.75,NA,NA,NA,NA,NA,2,0.759,0.379,0.308
"9","GSE14020",29,54675,1585575,"MDS (NLDR)","MDS (NLDR)","MDS (NLDR)",NA,NA,0.67,0.31,3,0,0.017,0.625,NA,NA,NA,NA,NA,1,0.276,0.276,0.24
"10","GSE14020",29,54675,1585575,"LMDS [k=17] (smacofx)","LMDS [k=17] (smacofx)","LMDS (smacofx)",17,NA,0.67,0.31,1,NA,0.099,0.625,NA,NA,NA,NA,NA,2,0.759,0.379,0.308
