"","id","k","Agr","ER(Agr)","AdjNum","AdjDenom","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted","AgrAdj"
"1","DRR",1,0.0879120879120879,0.0111111111111111,0.0768009768009768,0.988888888888889,"DRR",NA,NA,0.66,0.31,3,0.027,3.3,0.846,0.923,0.769,0.8,0.923,0.857,25,13.593,0.544,0.266,0.0768009768009768
"2","DRR",2,0.0989010989010989,0.0222222222222222,0.0766788766788767,0.977777777777778,"DRR",NA,NA,0.66,0.31,3,0.027,3.3,0.846,0.923,0.769,0.8,0.923,0.857,25,13.593,0.544,0.266,0.0766788766788767
"3","DRR",3,0.128205128205128,0.0333333333333333,0.0948717948717949,0.966666666666667,"DRR",NA,NA,0.66,0.31,3,0.027,3.3,0.846,0.923,0.769,0.8,0.923,0.857,25,13.593,0.544,0.266,0.0948717948717949
"4","DRR",4,0.17032967032967,0.0444444444444444,0.125885225885226,0.955555555555556,"DRR",NA,NA,0.66,0.31,3,0.027,3.3,0.846,0.923,0.769,0.8,0.923,0.857,25,13.593,0.544,0.266,0.125885225885226
"5","DRR",5,0.2,0.0555555555555556,0.144444444444444,0.944444444444444,"DRR",NA,NA,0.66,0.31,3,0.027,3.3,0.846,0.923,0.769,0.8,0.923,0.857,25,13.593,0.544,0.266,0.144444444444444
"6","DRR",6,0.217948717948718,0.0666666666666667,0.151282051282051,0.933333333333333,"DRR",NA,NA,0.66,0.31,3,0.027,3.3,0.846,0.923,0.769,0.8,0.923,0.857,25,13.593,0.544,0.266,0.151282051282051
"7","DRR",7,0.227629513343799,0.0777777777777778,0.149851735566021,0.922222222222222,"DRR",NA,NA,0.66,0.31,3,0.027,3.3,0.846,0.923,0.769,0.8,0.923,0.857,25,13.593,0.544,0.266,0.149851735566021
"8","DRR",8,0.243131868131868,0.0888888888888889,0.154242979242979,0.911111111111111,"DRR",NA,NA,0.66,0.31,3,0.027,3.3,0.846,0.923,0.769,0.8,0.923,0.857,25,13.593,0.544,0.266,0.154242979242979
"9","DRR",9,0.266178266178266,0.1,0.166178266178266,0.9,"DRR",NA,NA,0.66,0.31,3,0.027,3.3,0.846,0.923,0.769,0.8,0.923,0.857,25,13.593,0.544,0.266,0.166178266178266
"10","DRR",10,0.293406593406593,0.111111111111111,0.182295482295482,0.888888888888889,"DRR",NA,NA,0.66,0.31,3,0.027,3.3,0.846,0.923,0.769,0.8,0.923,0.857,25,13.593,0.544,0.266,0.182295482295482
