"","dataset","n_samples","n_attr","n_values","X","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"1","GSE14020",29,54675,1585575,"HSMDS (HSLocalMDS)","HSMDS (HSLocalMDS)","HSMDS (HSLocalMDS)",NA,NA,0.74,0.47,3,0,0.243,0.375,NA,NA,NA,NA,NA,10,7.069,0.707,0.35
"2","GSE14020",29,54675,1585575,"HSLMDS [k=28] [kQuality=27] (HSLocalMDS)","HSLMDS [k=28] [kQuality=27] (HSLocalMDS)","HSLMDS (HSLocalMDS)",28,NA,0.74,0.47,1,NA,1.078,0.375,NA,NA,NA,NA,NA,10,7.069,0.707,0.35
"3","GSE14020",29,54675,1585575,"tSNE [perp=6]","tSNE [perp=6]","tSNE",NA,6,0.73,0.43,1,NA,0.076,0.625,NA,NA,NA,NA,NA,1,0.759,0.759,0.723
"4","GSE14020",29,54675,1585575,"LMDS [k=15] [kQuality=14] (HSLocalMDS)","LMDS [k=15] [kQuality=14] (HSLocalMDS)","LMDS (HSLocalMDS)",15,NA,0.73,0.43,1,NA,0.166,0.625,NA,NA,NA,NA,NA,11,8.034,0.73,0.338
"5","GSE14020",29,54675,1585575,"Isomap [k=22]","Isomap [k=22]","Isomap",22,NA,0.71,0.41,1,NA,0.065,0.375,NA,NA,NA,NA,NA,10,7.034,0.703,0.346
"6","GSE14020",29,54675,1585575,"UMAP [k=3]","UMAP [k=3]","UMAP",3,NA,0.69,0.36,1,NA,0.045,0.75,NA,NA,NA,NA,NA,2,0.828,0.414,0.342
"7","GSE14020",29,54675,1585575,"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.68,0.33,3,0,0.087,0.75,NA,NA,NA,NA,NA,2,0.759,0.379,0.308
"8","GSE14020",29,54675,1585575,"MDS (HSLocalMDS)","MDS (HSLocalMDS)","MDS (HSLocalMDS)",NA,NA,0.67,0.31,3,0,0.013,0.625,NA,NA,NA,NA,NA,1,0.276,0.276,0.24
"9","GSE14020",29,54675,1585575,"LMDS [k=17] (smacofx)","LMDS [k=17] (smacofx)","LMDS (smacofx)",17,NA,0.67,0.31,1,NA,0.105,0.625,NA,NA,NA,NA,NA,2,0.759,0.379,0.308
"10","GSE14020",29,54675,1585575,"PPCA","PPCA","PPCA",NA,NA,0.67,0.31,3,0.07,1.115,0.625,NA,NA,NA,NA,NA,2,0.759,0.379,0.308
"11","GSE14020",29,54675,1585575,"MDS (smacof)","MDS (smacof)","MDS (smacof)",NA,NA,0.66,0.3,3,0,0.003,0.625,NA,NA,NA,NA,NA,8,4.276,0.534,0.249
"12","GSE14020",29,54675,1585575,"PCA_SVD","PCA_SVD","PCA_SVD",NA,NA,0.6,0.17,3,0.025,0.291,0.375,NA,NA,NA,NA,NA,12,6.828,0.569,0.14
