"","dataset","n_samples","n_attr","n_values","X","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"1","GSE14020",29,54675,1585575,"HSLMDS [k=28] [kQuality=26] (NLDR)","HSLMDS [k=28] [kQuality=26] (NLDR)","HSLMDS (NLDR)",28,NA,0.75,0.48,1,NA,0.082,0.75,NA,NA,NA,NA,NA,9,6.103,0.678,0.357
"2","GSE14020",29,54675,1585575,"HSMDS (NLDR)","HSMDS (NLDR)","HSMDS (NLDR)",NA,NA,0.74,0.47,3,0,0.286,0.375,NA,NA,NA,NA,NA,10,7.069,0.707,0.35
"3","GSE14020",29,54675,1585575,"HSLMDS [k=24] (rNLDR)","HSLMDS [k=24] (rNLDR)","HSLMDS (rNLDR)",24,NA,0.74,0.47,1,NA,5.568,0.75,NA,NA,NA,NA,NA,10,7.207,0.721,0.364
"4","GSE14020",29,54675,1585575,"LMDS [k=15] [kQuality=12] (NLDR)","LMDS [k=15] [kQuality=12] (NLDR)","LMDS (NLDR)",15,NA,0.73,0.43,1,NA,0.019,0.625,NA,NA,NA,NA,NA,11,8.034,0.73,0.338
"5","GSE14020",29,54675,1585575,"tSNE [perp=6]","tSNE [perp=6]","tSNE",NA,6,0.73,0.43,1,NA,0.057,0.625,NA,NA,NA,NA,NA,1,0.759,0.759,0.723
"6","GSE14020",29,54675,1585575,"LMDS [k=9] (rNLDR)","LMDS [k=9] (rNLDR)","LMDS (rNLDR)",9,NA,0.73,0.43,1,NA,0.927,0.625,NA,NA,NA,NA,NA,10,7.103,0.71,0.353
"7","GSE14020",29,54675,1585575,"Isomap [k=22]","Isomap [k=22]","Isomap",22,NA,0.71,0.41,1,NA,0.052,0.375,NA,NA,NA,NA,NA,10,7.034,0.703,0.346
"8","GSE14020",29,54675,1585575,"UMAP [k=3]","UMAP [k=3]","UMAP",3,NA,0.69,0.36,1,NA,0.045,0.75,NA,NA,NA,NA,NA,2,0.828,0.414,0.342
"9","GSE14020",29,54675,1585575,"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.68,0.33,3,0,0.087,0.75,NA,NA,NA,NA,NA,2,0.759,0.379,0.308
"10","GSE14020",29,54675,1585575,"MDS (NLDR)","MDS (NLDR)","MDS (NLDR)",NA,NA,0.67,0.31,3,0,0.017,0.625,NA,NA,NA,NA,NA,1,0.276,0.276,0.24
"11","GSE14020",29,54675,1585575,"LMDS [k=17] (smacofx)","LMDS [k=17] (smacofx)","LMDS (smacofx)",17,NA,0.67,0.31,1,NA,0.099,0.625,NA,NA,NA,NA,NA,2,0.759,0.379,0.308
"12","GSE14020",29,54675,1585575,"PPCA","PPCA","PPCA",NA,NA,0.67,0.31,3,0.064,1.134,0.625,NA,NA,NA,NA,NA,2,0.759,0.379,0.308
