"","id","k","Agr","ER(Agr)","AdjNum","AdjDenom","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted","AgrAdj"
"1","DRR",1,0.0222222222222222,0.0112359550561798,0.0109862671660424,0.98876404494382,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.0109862671660424
"2","DRR",2,0.0611111111111111,0.0224719101123595,0.0386392009987516,0.97752808988764,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.0386392009987516
"3","DRR",3,0.103703703703704,0.0337078651685393,0.0699958385351644,0.966292134831461,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.0699958385351644
"4","DRR",4,0.141666666666667,0.0449438202247191,0.0967228464419476,0.955056179775281,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.0967228464419476
"5","DRR",5,0.153333333333333,0.0561797752808989,0.0971535580524344,0.943820224719101,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.0971535580524344
"6","DRR",6,0.183333333333333,0.0674157303370786,0.115917602996255,0.932584269662921,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.115917602996255
"7","DRR",7,0.203174603174603,0.0786516853932584,0.124522917781345,0.921348314606742,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.124522917781345
"8","DRR",8,0.219444444444444,0.0898876404494382,0.129556803995006,0.910112359550562,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.129556803995006
"9","DRR",9,0.235802469135802,0.101123595505618,0.134678873630184,0.898876404494382,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.134678873630184
"10","DRR",10,0.265555555555556,0.112359550561798,0.153196004993758,0.887640449438202,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.153196004993758
"11","DRR",11,0.278787878787879,0.123595505617978,0.155192373169901,0.876404494382023,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.155192373169901
"12","DRR",12,0.292592592592593,0.134831460674157,0.157761131918435,0.865168539325843,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.157761131918435
"13","DRR",13,0.311965811965812,0.146067415730337,0.165898396235475,0.853932584269663,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.165898396235475
"14","DRR",14,0.332539682539683,0.157303370786517,0.175236311753166,0.842696629213483,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.175236311753166
"15","DRR",15,0.352592592592593,0.168539325842697,0.184053266749896,0.831460674157303,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.184053266749896
"16","DRR",16,0.367361111111111,0.179775280898876,0.187585830212235,0.820224719101124,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.187585830212235
"17","DRR",17,0.388235294117647,0.191011235955056,0.197224058162591,0.808988764044944,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.197224058162591
"18","DRR",18,0.396913580246914,0.202247191011236,0.194666389235678,0.797752808988764,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.194666389235678
"19","DRR",19,0.406432748538012,0.213483146067416,0.192949602470596,0.786516853932584,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.192949602470596
"20","DRR",20,0.418888888888889,0.224719101123595,0.194169787765293,0.775280898876405,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.194169787765293
"21","DRR",21,0.426984126984127,0.235955056179775,0.191029070804352,0.764044943820225,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.191029070804352
"22","DRR",22,0.442424242424242,0.247191011235955,0.195233231188287,0.752808988764045,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.195233231188287
"23","DRR",23,0.458454106280193,0.258426966292135,0.200027139988058,0.741573033707865,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.200027139988058
"24","DRR",24,0.468518518518519,0.269662921348315,0.198855597170204,0.730337078651685,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.198855597170204
"25","DRR",25,0.477333333333333,0.280898876404494,0.196434456928839,0.719101123595506,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.196434456928839
"26","DRR",26,0.488034188034188,0.292134831460674,0.195899356573514,0.707865168539326,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.195899356573514
"27","DRR",27,0.499588477366255,0.303370786516854,0.196217690849401,0.696629213483146,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.196217690849401
"28","DRR",28,0.507936507936508,0.314606741573034,0.193329766363474,0.685393258426966,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.193329766363474
"29","DRR",29,0.516858237547893,0.325842696629214,0.191015540918679,0.674157303370786,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.191015540918679
"30","DRR",30,0.525925925925926,0.337078651685393,0.188847274240533,0.662921348314607,"DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2,0.188847274240533
