"","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.69,0.37,3,0,0.499,0.615,0.615,0.615,0.615,0.615,0.615,30,17.8,0.593,0.256
"DRR","DRR","DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2
"HSLMDS [k=12] [kQuality=10] (HSLocalMDS)","HSLMDS [k=12] [kQuality=10] (HSLocalMDS)","HSLMDS (HSLocalMDS)",12,NA,0.74,0.48,1,NA,38.034,0.885,0.846,0.923,0.917,0.846,0.88,18,11.267,0.626,0.424
"HSLMDS [k=12] [kQuality=11] (HSLocalMDS)","HSLMDS [k=12] [kQuality=11] (HSLocalMDS)","HSLMDS (HSLocalMDS)",12,NA,0.74,0.48,1,NA,37.61,0.923,0.923,0.923,0.923,0.923,0.923,18,11.244,0.625,0.422
"HSLMDS [k=12] [kQuality=12] (HSLocalMDS)","HSLMDS [k=12] [kQuality=12] (HSLocalMDS)","HSLMDS (HSLocalMDS)",12,NA,0.74,0.48,1,NA,82.154,0.923,0.923,0.923,0.923,0.923,0.923,13,7.378,0.568,0.421
"HSLMDS [k=12] [kQuality=13] (HSLocalMDS)","HSLMDS [k=12] [kQuality=13] (HSLocalMDS)","HSLMDS (HSLocalMDS)",12,NA,0.74,0.48,1,NA,29.264,0.923,0.923,0.923,0.923,0.923,0.923,18,11.278,0.627,0.424
"HSLMDS [k=12] [kQuality=14] (HSLocalMDS)","HSLMDS [k=12] [kQuality=14] (HSLocalMDS)","HSLMDS (HSLocalMDS)",12,NA,0.74,0.48,1,NA,58.394,0.885,0.846,0.923,0.917,0.846,0.88,18,11.278,0.627,0.424
"HSLMDS [k=12] [kQuality=15] (HSLocalMDS)","HSLMDS [k=12] [kQuality=15] (HSLocalMDS)","HSLMDS (HSLocalMDS)",12,NA,0.74,0.48,1,NA,29.284,0.923,0.923,0.923,0.923,0.923,0.923,18,11.278,0.627,0.424
"HSLMDS [k=12] [kQuality=9] (HSLocalMDS)","HSLMDS [k=12] [kQuality=9] (HSLocalMDS)","HSLMDS (HSLocalMDS)",12,NA,0.74,0.48,1,NA,58.763,0.885,0.846,0.923,0.917,0.846,0.88,18,11.278,0.627,0.424
"HSLMDS [k=15] [kQuality=12] (HSLocalMDS)","HSLMDS [k=15] [kQuality=12] (HSLocalMDS)","HSLMDS (HSLocalMDS)",15,NA,0.75,0.49,1,NA,41.831,0.962,1,0.923,0.929,1,0.963,18,11.467,0.637,0.435
"HSLMDS [k=15] [kQuality=13] (HSLocalMDS)","HSLMDS [k=15] [kQuality=13] (HSLocalMDS)","HSLMDS (HSLocalMDS)",15,NA,0.75,0.49,1,NA,41.892,0.962,1,0.923,0.929,1,0.963,18,11.467,0.637,0.435
"HSLMDS [k=15] [kQuality=14] (HSLocalMDS)","HSLMDS [k=15] [kQuality=14] (HSLocalMDS)","HSLMDS (HSLocalMDS)",15,NA,0.75,0.49,1,NA,41.934,0.962,1,0.923,0.929,1,0.963,18,11.467,0.637,0.435
"HSLMDS [k=15] [kQuality=15] (HSLocalMDS)","HSLMDS [k=15] [kQuality=15] (HSLocalMDS)","HSLMDS (HSLocalMDS)",15,NA,0.75,0.49,1,NA,27.771,0.962,1,0.923,0.929,1,0.963,18,11.478,0.638,0.435
"HSLMDS [k=15] [kQuality=16] (HSLocalMDS)","HSLMDS [k=15] [kQuality=16] (HSLocalMDS)","HSLMDS (HSLocalMDS)",15,NA,0.75,0.49,1,NA,24.702,0.923,0.923,0.923,0.923,0.923,0.923,18,11.444,0.636,0.434
"HSLMDS [k=15] [kQuality=17] (HSLocalMDS)","HSLMDS [k=15] [kQuality=17] (HSLocalMDS)","HSLMDS (HSLocalMDS)",15,NA,0.75,0.49,1,NA,24.674,0.923,0.923,0.923,0.923,0.923,0.923,18,11.444,0.636,0.434
"HSLMDS [k=15] [kQuality=18] (HSLocalMDS)","HSLMDS [k=15] [kQuality=18] (HSLocalMDS)","HSLMDS (HSLocalMDS)",15,NA,0.75,0.49,1,NA,27.616,0.962,1,0.923,0.929,1,0.963,18,11.478,0.638,0.435
"HSLMDS [k=18] [kQuality=15] (HSLocalMDS)","HSLMDS [k=18] [kQuality=15] (HSLocalMDS)","HSLMDS (HSLocalMDS)",18,NA,0.76,0.51,1,NA,7.594,0.923,0.923,0.923,0.923,0.923,0.923,18,11.722,0.651,0.449
"HSLMDS [k=18] [kQuality=16] (HSLocalMDS)","HSLMDS [k=18] [kQuality=16] (HSLocalMDS)","HSLMDS (HSLocalMDS)",18,NA,0.76,0.51,1,NA,7.701,0.923,0.923,0.923,0.923,0.923,0.923,18,11.722,0.651,0.449
"HSLMDS [k=18] [kQuality=17] (HSLocalMDS)","HSLMDS [k=18] [kQuality=17] (HSLocalMDS)","HSLMDS (HSLocalMDS)",18,NA,0.76,0.51,1,NA,21.881,0.923,0.923,0.923,0.923,0.923,0.923,18,11.711,0.651,0.448
"HSLMDS [k=18] [kQuality=18] (HSLocalMDS)","HSLMDS [k=18] [kQuality=18] (HSLocalMDS)","HSLMDS (HSLocalMDS)",18,NA,0.76,0.51,1,NA,16.923,0.923,0.923,0.923,0.923,0.923,0.923,18,11.733,0.652,0.45
"HSLMDS [k=18] [kQuality=19] (HSLocalMDS)","HSLMDS [k=18] [kQuality=19] (HSLocalMDS)","HSLMDS (HSLocalMDS)",18,NA,0.76,0.51,1,NA,7.708,0.923,0.923,0.923,0.923,0.923,0.923,18,11.722,0.651,0.449
"HSLMDS [k=18] [kQuality=20] (HSLocalMDS)","HSLMDS [k=18] [kQuality=20] (HSLocalMDS)","HSLMDS (HSLocalMDS)",18,NA,0.76,0.51,1,NA,7.645,0.923,0.923,0.923,0.923,0.923,0.923,18,11.722,0.651,0.449
